袭,襲
装,裝
裆,襠
裤,褲
褛,褸
褴,襤
见,見
规,規
觅,覓
视,視
览,覽
觉,覺
觊,覬
觎,覦
觐,覲
觞,觴
触,觸
誉,譽
誊,謄
计,計
订,訂
讣,訃
认,認
讥,譏
讦,訐
讧,訌
讨,討
让,讓
讪,訕
讫,訖
训,訓
议,議
讯,訊
记,記
讲,講
讳,諱
讶,訝
讷,訥
许,許
讹,訛
论,論
讼,訟
讽,諷
设,設
访,訪
诀,訣
证,證
诂,詁
评,評
诅,詛
识,識
诈,詐
诉,訴
诊,診
诋,詆
词,詞
诏,詔
译,譯
试,試
诗,詩
诘,詰
诙,詼
诚,誠
诛,誅
话,話
诞,誕
诟,詬
诠,詮
诡,詭
询,詢
诣,詣
诤,諍
该,該
详,詳
诧,詫
诫,誡
诬,誣
语,語
误,誤
诰,誥
诱,誘
诲,誨
诳,誑
说,說
诵,誦
请,請
诸,諸
诺,諾
读,讀
课,課
诿,諉
谁,誰
调,調
谄,諂
谅,諒
谆,諄
谈,談
谊,誼
谋,謀
谍,諜
谎,謊
谏,諫
谐,諧
谒,謁
谓,謂
谕,諭
谗,讒
谘,諮
谚,諺
谛,諦
谜,謎
谟,謨
谢,謝
谣,謠
谤,謗
谦,謙
谨,謹
谬,謬
谭,譚
谱,譜
谲,譎
谴,譴
谶,讖
贝,貝
贞,貞
负,負
贡,貢
财,財
责,責
贤,賢
败,敗
账,賬
货,貨
质,質
贩,販
贪,貪
贫,貧
贬,貶
购,購
贮,貯
贯,貫
贰,貳
贱,賤
贲,賁
贴,貼
贵,貴
贷,貸
贸,貿
费,費
贺,賀
贻,貽
贼,賊
贾,賈
贿,賄
赀,貲
赁,賃
赂,賂
赃,贓
资,資
赅,賅
赈,賑
赊,賒
赋,賦
赌,賭
赎,贖
赏,賞
赐,賜
赔,賠
赖,賴
赘,贅
赚,賺
赛,賽
赝,贋
赞,贊
赠,贈
赡,贍
赢,贏
赣,贛
赵,趙
赶,趕
趋,趨
趸,躉
跃,躍
践,踐
跶,躂
跷,蹺
踊,踴
踌,躊
踪,蹤
踯,躑
蹑,躡
蹒,蹣
躏,躪
躯,軀
车,車
轧,軋
轨,軌
轩,軒
轫,軔
转,轉
轭,軛
轮,輪
软,軟
轰,轟
轲,軻
轴,軸
轶,軼
轻,輕
轼,軾
载,載
轾,輊
轿,轎
较,較
辄,輒
辅,輔
辆,輛
辇,輦
辈,輩
辉,輝
辍,輟
辎,輜
辐,輻
辑,輯
输,輸
辔,轡
辕,轅
辖,轄
辗,輾
辙,轍
辚,轔
辞,辭
辩,辯
辫,辮
边,邊
辽,遼
达,達
迁,遷
过,過
迈,邁
运,運
还,還
这,這
进,進
远,遠
违,違
连,連
迟,遲
迩,邇
迳,逕
迹,跡
适,適
选,選
逊,遜
